player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
KZ Okpala,okpalkz01,2020,6,3,-18.54662785383827,-14.3004105337835,-32.84703838762177,-65.23903400434483,.6130869145412907,-64.62594708980355,-29.49991686395832,-12.18053289873532,-41.68044976269363,-.0641864382045803,-.0641864382045803,0,-23.24171239044564,-20.87603274411805,-44.11774513456368,7.877145349286415
Victor Oladipo,oladivi01,2020,43,21,1.871191655702124,-7.129421773163726,-5.258230117461602,2.298292249299503,-8.862363532462776,-6.564071283163273,2.032394794719801,-7.886863017472725,-5.854468222752924,-.033905245975065,-.033905245975065,0,.7031560104687379,-8.891669738373675,-8.188513727904937,1.973841131195227
Kelly Olynyk,olynyke01,2020,1743,824,.529985267907004,-.4531159236618662,.0768693442451378,-2.626659263249653,-.3974214559709582,-3.024080719220611,-.1308691411807061,-.5051798544343141,-.6360489956150203,.8949387501401164,.8949387501401164,0,-.0135656327330033,-.529980779547208,-.5435464122802113,.714643247346629
Royce O'Neale,onealro01,2020,2943,1415,-.1827869854078296,1.399869156975369,1.21708217156754,4.165185624209226,.7354905660856077,4.900676190294833,.7668338614248987,1.301649058504311,2.06848291992921,3.438932495277524,3.438932495277524,0,-.0842318380373271,1.802073692895596,1.717841854858269,-1.164331749097072
Miye Oni,onimi01,2020,18,8,-8.585083661849065,13.97269034793693,5.387606686087867,-20.53647817019193,-4.38829313229381,-24.92477130248574,-11.54054425884259,10.97762654557799,-.5629177132645982,.0091324159471747,.0091324159471747,0,-9.468119950083521,4.277897098037406,-5.190222852046115,2.350616614319708
Kyle O'Quinn,oquinky01,2020,461,217,-1.430538205692423,-2.180831639227387,-3.61136984491981,.6900258041437615,-8.103705831135089,-7.413680026991328,-1.076847946826129,-3.650507737686048,-4.727355684512176,-.2202273916566258,-.2202273916566258,0,-1.753650609216062,-1.940404192294423,-3.694054801510485,.6095466950125933
Cedi Osman,osmande01,2020,2959,1419,-.3216543180360658,-.2237031846245476,-.5453575026606134,-1.052150649021756,-1.656593202840623,-2.708743851862378,-.4518648568621336,-.4771257433717362,-.9289906002338697,1.317059090692438,1.317059090692438,0,-.4381776181769078,-.459816046088583,-.8979936642654907,-.100937867240286
Kelly Oubre Jr.,oubreke01,2020,3282,1532,.0902178445758275,1.37711444489733,1.467332289473157,-.2276538877844362,-.5004650010728678,-.728118888857304,.0289027438858913,1.081052421972111,1.109955165858002,3.028643036057841,3.028643036057841,0,-.8503715586332281,1.809388129880235,.959016571247007,.3923676780733013
Jabari Parker,parkeja01,2020,1824,837,.3586542862790923,-1.11233801602251,-.7536837297434171,3.747837362238846,-5.707919789330401,-1.960082427091556,1.182413461373068,-2.086401551415392,-.9039880900423245,.7922043752893294,.7922043752893294,0,1.998900526721139,-.9903774648663221,1.008523061854818,.5033427140951477
Chandler Parsons,parsoch01,2020,127,54,-4.473790267438415,-3.537874982599569,-8.011665250037984,-15.12230664880057,-6.116219000755227,-21.2385256495558,-6.886429711241463,-4.15929022693148,-11.04571993817294,-.2306646786660694,-.2306646786660694,0,-5.63385546522432,-4.392957317171234,-10.02681278239555,.9425434823327
Eric Paschall,pascher01,2020,2512,1183,-1.318726225755196,-2.084103647398533,-3.402829873153729,-.9021628047347579,-4.509790940389976,-5.411953745124734,-1.208134877554921,-2.690233901960471,-3.898368779515392,-.6900072348123303,-.6900072348123303,0,-1.991957214337819,-2.765677258286792,-4.757634472624611,-.45786423430239
Anzejs Pasecniks,pasecan01,2020,800,370,-2.334255073460964,-1.074355254255404,-3.408610327716368,.603018486222678,-1.483581383045708,-.8805628968230301,-1.883647649649664,-1.076136158898698,-2.959783808548362,-.0396719635518504,-.0396719635518504,0,-.6407357887854112,-1.020126451844627,-1.660862240630038,.180987600573602
Patrick Patterson,pattepa01,2020,1235,568,.1970887294752776,.6986310288255502,.8957197583008277,.4243781832242223,3.427046917208806,3.851425100433028,.2132622110538704,1.268863137542615,1.482125348596485,1.229479067471811,1.229479067471811,0,-.0672538521797036,-.0091052301801678,-.0763590823598715,.2526370686098024
